"CrossingID","Latitude","Longitude"
"386381H",42.011966,-87.773103
"386385K",42.019191,-87.776829
"290508A",41.252721,-88.22638
"174001M",41.888951,-87.844242
"176546Y",42.072013,-87.704916
"176547F",42.073778,-87.706375
"176551V",42.080274,-87.711851
"176570A",42.125693,-87.749852
"176935E",42.102176,-88.024216
"290484N",41.46598,-88.093682
"386395R",42.026437,-87.780578
"386396X",42.036649,-87.785913
"386398L",42.039343,-87.787316
"386399T",42.040915,-87.788126
"386400K",42.050313,-87.793004
"386403F",42.058918,-87.797488
"175004L",41.886544,-88.409395
"173905C",42.024912,-87.857902
"176969Y",42.2332,-88.296297
"176985H",42.314201,-88.444726
"178809S",42.32086,-88.290161
"174954C",41.866528,-88.09685
"289760S",41.531507,-88.078912
"176637E",42.464299,-87.816913
"174938T",41.89512,-87.98869
"174937L",41.896215,-87.979081
"177847X",42.076592,-87.966757
"177011D",42.41916,-88.61666
"174023M",41.899788,-87.942181
"176951N",42.154233,-88.134762
"178803B",42.248497,-88.309302
"178812A",42.34555,-88.27722
"176954J",42.165003,-88.155675
"174021Y",41.899172,-87.936372
"176588K",42.201982,-87.809684
"174952N",41.869289,-88.088594
"173911F",42.041372,-87.887867
"174950A",41.876052,-88.066734
"174957X",41.864652,-88.106606
"178815V",42.364883,-88.282527
"176606F",42.319345,-87.842455
"173904V",42.023413,-87.855244
"176924S",42.083239,-87.981722
"173893K",41.996045,-87.806816
"173887G",41.985218,-87.787693
"174948Y",41.876892,-88.062963
"178732G",42.086607,-87.989222
"173892D",41.993905,-87.803028
"176941H",42.113032,-88.048612
"176926F",42.084326,-87.984134
"176974V",42.246232,-88.320901
"176995N",42.348532,-88.49169
"174009S",41.890323,-87.856581
"176911R",42.062597,-87.935391
"174945D",41.884453,-88.029809
"176616L",42.349322,-87.829315
"176965W",42.219074,-88.261254
"176945K",42.124901,-88.075311
"176913E",42.066337,-87.943744
"173894S",41.997266,-87.80899
"290492F",41.393066,-88.116902
"174973G",41.883386,-88.208491
"174933J",41.898452,-87.959248
"176548M",42.075511,-87.707853
"174964H",41.870206,-88.158351
"174972A",41.883318,-88.20768
"174022F",41.899576,-87.939987
"174956R",41.864895,-88.105163
"167451S",41.633526,-87.61263
"176552C",42.081538,-87.712918
"173998Y",41.88839,-87.839258
"176553J",42.086019,-87.716664
"176961U",42.208711,-88.240656
"176940B",42.111958,-88.046211
"173902G",42.015213,-87.840717
"173898U",42.004186,-87.821201
"174953V",41.867641,-88.091998
"173896F",42.001855,-87.817109
"176944D",42.119487,-88.063132
"176573V",42.135021,-87.757779
"173996K",41.887844,-87.834365
"174958E",41.864484,-88.108185
"173899B",42.009614,-87.830826
"176912X",42.063202,-87.936788
"174344U",42.105938,-88.032663
"174923D",41.864335,-88.109915
"174924K",41.864351,-88.111484
"174965P",41.876582,-88.182151
"174991E",41.881578,-88.309384
"867235G",41.699762,-87.632955
"173886A",41.982929,-87.783634
"289771E",41.480517,-88.090143
"173891W",41.991976,-87.799623
"174955J",41.865681,-88.101173
"174935X",41.897358,-87.969029
"174020S",41.898481,-87.930149
"174951G",41.876072,-88.070101
"176925Y",42.083776,-87.982913
"176953C",42.154936,-88.136144
"176927M",42.088332,-87.993103
"176956X",42.175428,-88.175927
"176957E",42.183296,-88.191207
"176970T",42.241233,-88.31142
"176978X",42.253896,-88.335414
"176971A",42.243696,-88.316121
"176979E",42.267976,-88.36202
"176984B",42.313798,-88.44433
"176987W",42.315609,-88.446066
"176988D",42.316267,-88.446674
"176989K",42.316524,-88.446935
"176994G",42.335174,-88.472328
"176998J",42.363555,-88.509184
"177003L",42.38551,-88.53409
"177004T",42.40007,-88.55126
"177005A",42.408421,-88.579727
"177006G",42.414818,-88.60386
"177009C",42.41673,-88.611053
"290505E",41.290099,-88.179146
"176550N",42.078916,-87.710715
"176580F",42.177793,-87.793691
"176576R",42.152372,-87.772336
"176590L",42.207031,-87.813446
"176591T",42.21805,-87.821613
"176596C",42.251396,-87.83947
"176594N",42.240091,-87.836066
"176597J",42.253338,-87.840062
"176630G",42.429876,-87.819613
"176632V",42.446193,-87.818328
"176631N",42.442579,-87.818618
"176635R",42.449746,-87.818058
"176638L",42.482381,-87.81621
"178804H",42.26666,-88.30055
"178807D",42.28472,-88.30194
"177425E",42.33666,-88.27833
"178811T",42.343716,-88.276094
"174998C",41.881217,-88.320901
"840147T",41.643009,-87.612263
"176960M",42.205499,-88.234397
"176575J",42.141132,-87.762911
"290486C",41.451256,-88.097346
"290500V",41.312529,-88.146778
"290502J",41.309413,-88.154508
"290506L",41.264212,-88.211864
"290507T",41.260033,-88.217149
"290509G",41.237728,-88.245301
"290490S",41.404106,-88.109093
"290503R",41.305094,-88.160184
"290498W",41.320026,-88.141768
"176937T",42.110345,-88.042566
"290497P",41.327439,-88.140608
"176923K",42.082707,-87.980465
"386407H",42.071611,-87.804097
"386408P",42.07283,-87.804726
"386411X",42.087397,-87.811578
"173957U",41.887896,-87.738166
"478792U",41.497663,-87.961027
